simulation_id,final_value
1,2131.83
2,2266.42
3,1774.65
4,2131.83
5,2266.42
6,1872.0
7,2266.42
8,1774.65
9,1872.0
10,2131.83
11,1774.65
12,2266.42
13,1819.0
14,2266.42
15,1774.65
16,1774.65
17,1872.0
18,1872.0
19,1774.65
20,1774.65
21,2131.83
22,2266.42
23,2266.42
24,2266.42
25,1938.9375
26,2266.42
27,1872.0
28,1774.65
29,1872.0
30,2054.5
31,1680.0
32,1872.0
33,1774.65
34,2266.42
35,2266.42
36,1872.0
37,1938.9375
38,1938.9375
39,1819.0
40,2266.42
41,2266.42
42,1872.0
43,2266.42
44,1680.0
45,2266.42
46,1872.0
47,1938.9375
48,2054.5
49,1680.0
50,1680.0
51,1872.0
52,1774.65
53,1872.0
54,2054.5
55,1872.0
56,2131.83
57,2266.42
58,1680.0
59,1872.0
60,2131.83
61,1774.65
62,1774.65
63,2054.5
64,1872.0
65,1774.65
66,2266.42
67,1774.65
68,2054.5
69,1872.0
70,2131.83
71,1872.0
72,1872.0
73,2266.42
74,1872.0
75,2054.5
76,1680.0
77,1872.0
78,2266.42
79,1872.0
80,2266.42
81,1872.0
82,1872.0
83,2131.83
84,1872.0
85,2266.42
86,1680.0
87,1872.0
88,2131.83
89,2054.5
90,2054.5
91,1774.65
92,1988.0
93,2054.5
94,2131.83
95,2054.5
96,2266.42
97,1872.0
98,1872.0
99,2266.42
100,1680.0
101,1680.0
102,2131.83
103,2266.42
104,2266.42
105,1872.0
106,1872.0
107,2054.5
108,1680.0
109,1872.0
110,2266.42
111,1680.0
112,1872.0
113,1872.0
114,1872.0
115,1872.0
116,2266.42
117,1872.0
118,2266.42
119,2131.83
120,1872.0
121,1872.0
122,1872.0
123,1872.0
124,2054.5
125,2131.83
126,1872.0
127,2054.5
128,1680.0
129,2266.42
130,1872.0
131,1774.65
132,2266.42
133,1774.65
134,1774.65
135,2131.83
136,2131.83
137,1774.65
138,2266.42
139,1872.0
140,1872.0
141,2131.83
142,2131.83
143,1872.0
144,2131.83
145,2266.42
146,1872.0
147,2131.83
148,1774.65
149,2266.42
150,1872.0
151,1680.0
152,1774.65
153,2266.42
154,1872.0
155,1774.65
156,2131.83
157,2266.42
158,1774.65
159,1872.0
160,1872.0
161,1774.65
162,1774.65
163,1872.0
164,1872.0
165,1774.65
166,2131.83
167,2131.83
168,1774.65
169,1872.0
170,2054.5
171,2131.83
172,2266.42
173,1872.0
174,1988.0
175,1938.9375
176,1680.0
177,1988.0
178,1988.0
179,1988.0
180,2054.5
181,1938.9375
182,1774.65
183,1872.0
184,1872.0
185,1872.0
186,1872.0
187,1774.65
188,2266.42
189,1938.9375
190,1872.0
191,1938.9375
192,2054.5
193,2266.42
194,2054.5
195,1680.0
196,1680.0
197,1872.0
198,2266.42
199,1872.0
200,1938.9375
201,2266.42
202,1872.0
203,2131.83
204,1872.0
205,1938.9375
206,1774.65
207,2131.83
208,2266.42
209,2054.5
210,2131.83
211,1872.0
212,1872.0
213,2266.42
214,2131.83
215,1774.65
216,2054.5
217,1872.0
218,2266.42
219,1872.0
220,1872.0
221,1774.65
222,1872.0
223,1774.65
224,1774.65
225,1774.65
226,1774.65
227,2266.42
228,1872.0
229,1774.65
230,2131.83
231,2266.42
232,2054.5
233,2266.42
234,1872.0
235,2131.83
236,1872.0
237,2266.42
238,1872.0
239,1872.0
240,1774.65
241,2266.42
242,1872.0
243,1774.65
244,1872.0
245,1872.0
246,2266.42
247,2266.42
248,1872.0
249,2266.42
250,2266.42
251,2131.83
252,1872.0
253,1872.0
254,2054.5
255,2054.5
256,2054.5
257,1938.9375
258,1774.65
259,2266.42
260,1872.0
261,1819.0
262,1774.65
263,1774.65
264,1988.0
265,2266.42
266,1872.0
267,2266.42
268,1774.65
269,1872.0
270,2131.83
271,1774.65
272,2266.42
273,1872.0
274,1819.0
275,2131.83
276,1774.65
277,1872.0
278,1774.65
279,1872.0
280,1938.9375
281,2054.5
282,2054.5
283,1774.65
284,1872.0
285,1774.65
286,1938.9375
287,1774.65
288,1872.0
289,2054.5
290,1872.0
291,1872.0
292,2131.83
293,2131.83
294,1872.0
295,2266.42
296,2131.83
297,1872.0
298,1872.0
299,2131.83
300,1872.0
301,1872.0
302,1872.0
303,1774.65
304,1872.0
305,2266.42
306,1938.9375
307,2054.5
308,2054.5
309,1938.9375
310,2131.83
311,2266.42
312,2266.42
313,1872.0
314,2266.42
315,1872.0
316,1680.0
317,2266.42
318,2266.42
319,2266.42
320,2266.42
321,1680.0
322,2131.83
323,1938.9375
324,1774.65
325,2054.5
326,2266.42
327,1819.0
328,1938.9375
329,1872.0
330,2266.42
331,2054.5
332,1988.0
333,1774.65
334,2131.83
335,2054.5
336,1872.0
337,1819.0
338,1774.65
339,1774.65
340,2266.42
341,2131.83
342,2266.42
343,2054.5
344,2266.42
345,1872.0
346,1938.9375
347,1774.65
348,1774.65
349,1774.65
350,1872.0
351,1774.65
352,2131.83
353,2054.5
354,1774.65
355,2266.42
356,1774.65
357,1680.0
358,2266.42
359,2054.5
360,2266.42
361,1872.0
362,1774.65
363,1680.0
364,2131.83
365,1872.0
366,1872.0
367,1988.0
368,1872.0
369,2266.42
370,2054.5
371,1774.65
372,1872.0
373,1872.0
374,1774.65
375,2054.5
376,1872.0
377,1872.0
378,1680.0
379,2054.5
380,2054.5
381,1774.65
382,2131.83
383,1872.0
384,1872.0
385,1872.0
386,2131.83
387,1872.0
388,2266.42
389,1680.0
390,2266.42
391,1938.9375
392,1774.65
393,1872.0
394,1988.0
395,2054.5
396,1680.0
397,1774.65
398,1872.0
399,1872.0
400,1872.0
401,2266.42
402,1872.0
403,2266.42
404,2054.5
405,1872.0
406,2054.5
407,1872.0
408,2266.42
409,2131.83
410,1774.65
411,1938.9375
412,1774.65
413,1819.0
414,1872.0
415,1872.0
416,1938.9375
417,2054.5
418,1938.9375
419,2131.83
420,1872.0
421,1872.0
422,1774.65
423,1774.65
424,2054.5
425,1774.65
426,2131.83
427,1872.0
428,1680.0
429,1938.9375
430,1872.0
431,1938.9375
432,1774.65
433,1872.0
434,2054.5
435,1872.0
436,1872.0
437,2266.42
438,1774.65
439,1872.0
440,2054.5
441,2266.42
442,1872.0
443,1680.0
444,2054.5
445,1872.0
446,1938.9375
447,1872.0
448,2054.5
449,2266.42
450,1872.0
451,1988.0
452,1680.0
453,1872.0
454,1774.65
455,1872.0
456,1872.0
457,1872.0
458,1938.9375
459,1774.65
460,1774.65
461,1774.65
462,1774.65
463,1938.9375
464,1872.0
465,2131.83
466,1872.0
467,2266.42
468,1872.0
469,1872.0
470,2131.83
471,1938.9375
472,1774.65
473,2266.42
474,1988.0
475,1680.0
476,1774.65
477,1680.0
478,1872.0
479,1872.0
480,1872.0
481,1774.65
482,1774.65
483,2266.42
484,1872.0
485,1872.0
486,2266.42
487,1774.65
488,2054.5
489,1872.0
490,2054.5
491,1872.0
492,2054.5
493,1774.65
494,1819.0
495,2131.83
496,2266.42
497,2054.5
498,1988.0
499,2054.5
500,1680.0
501,1872.0
502,1872.0
503,2054.5
504,2266.42
505,1938.9375
506,1774.65
507,2266.42
508,2131.83
509,1872.0
510,1872.0
511,2266.42
512,1938.9375
513,1872.0
514,1872.0
515,2266.42
516,2266.42
517,2131.83
518,1872.0
519,2054.5
520,2266.42
521,1774.65
522,1938.9375
523,1774.65
524,1872.0
525,1988.0
526,1774.65
527,2054.5
528,1988.0
529,2054.5
530,1938.9375
531,1988.0
532,1872.0
533,2266.42
534,1774.65
535,1872.0
536,2054.5
537,2131.83
538,1774.65
539,1774.65
540,2131.83
541,2266.42
542,2054.5
543,2266.42
544,1872.0
545,2266.42
546,1988.0
547,2131.83
548,1872.0
549,1774.65
550,1872.0
551,2266.42
552,1872.0
553,1774.65
554,1774.65
555,1938.9375
556,2266.42
557,2131.83
558,1872.0
559,1872.0
560,1872.0
561,1774.65
562,1774.65
563,2131.83
564,1680.0
565,2266.42
566,1938.9375
567,2266.42
568,1774.65
569,2266.42
570,2131.83
571,2131.83
572,2054.5
573,1872.0
574,1774.65
575,2266.42
576,1872.0
577,2131.83
578,1938.9375
579,2266.42
580,2131.83
581,2266.42
582,1938.9375
583,2131.83
584,1872.0
585,2054.5
586,2266.42
587,2054.5
588,1872.0
589,2054.5
590,1774.65
591,1774.65
592,1872.0
593,2266.42
594,1680.0
595,1872.0
596,1938.9375
597,2266.42
598,1872.0
599,1774.65
600,1988.0
